song,artist
Every Breath You Take,The Police
I Love Rock 'N Roll,Joan Jett & The Blackhearts
Hungry Like the Wolf,Duran Duran
Eye of the Tiger,Survivor
Down Under,Men at Work
Come On Eileen,Dexys Midnight Runners
Heat of the Moment,Asia
Do You Really Want to Hurt Me?,Culture Club
Hurts So Good,John Mellencamp
She's a Beauty,The Tubes
Back on the Chain Gang,The Pretenders
Dirty Laundry,Don Henley
Photograph,Def Leppard
Jack and Diane,John Mellencamp 
Working For The Weekend,Loverboy
Twilight Zone,Golden Earring
Our House,Madness
Everybody Wants You,Billy Squier
Hard to Say I'm Sorry,Chicago
Africa,Toto
Rock of Ages,Def Leppard
For Those About To Rock (We Salute You),AC/DC
New World Man,Rush
She Blinded Me with Science,Thomas Dolby
Abracadabra,Steve Miller Band
(Oh) Pretty Woman,Van Halen
You Got Lucky,Tom Petty and the Heartbreakers
 Partytown,Glenn Frey
Time (Clock of the Heart),Culture Club
Testify,Greg Kihn Band
Think I'm in Love,Eddie Money
Caught Up In You,38 Special
Livin' In The Limelight,Peter Cetera
I Ran (So Far Away),A Flock of Seagulls
Rio,Duran Duran
Spirits In The Material World,The Police
We Got the Beat,The Go-Go's
Wishing (If I Had A Photograph Of You),A Flock of Seagulls
Addicted,Le Roux
Crimson and Clover,Joan Jett
You Keep Runnin' Away,38 Special
Keep the Fire Burnin',REO Speedwagon
Shock the Monkey,Peter Gabriel
Stone Cold,Rainbow
Hold Me,Fleetwood Mac
No One Like You,Scorpions
Don't Let Him Know,Prism
Your Love Is Driving Me Crazy,Sammy Hagar
Waiting On A Friend,The Rolling Stones
Chain Lightnin',38 Special
Industrial Disease,Dire Straits
Love Is Like A Rock,Donnie Iris
Enough Is Enough,April Wine
Steppin' Out,Joe Jackson
Sole Survivor,Asia
Crazy,Supertramp
Mirror Man,The Human League
Worse Than Detroit,Robert Plant
Paperlate,Genesis
Right The First Time,Gamma
Atlantic City,Bruce Springsteen
Out Of Work,Gary U.S. Bonds
Pledge Pin,Robert Plant
Athena,The Who
If You Want My Love,Cheap Trick
Goody Two Shoes,Adam Ant
A Million Miles Away,The Plimsouls
Shadows of the Night,Pat Benatar
Find Another Fool,Quarterflash
On the Loose,Saga
I'll Fall in Love Again,Sammy Hagar
Rock the Casbah,The Clash
Shame on the Moon,Bob Seger
Mega Force,707
"Slipped, Tripped, Fell In Love",Foghat
Valley Girl,Frank Zappa
Somebody's Baby,Jackson Browne
Rosanna,Toto
Nowhere To Run,Santana
Fantasy,Aldo Nova
Crazy (Keep On Falling),John Hall Band
Still In Saigon,Charlie Daniels Band
Electricland,Bad Company
Vacation,The Go-Go's
Valerie (1982 Version),Steve Winwood
Gypsy,Fleetwood Mac
Ozone Baby,Led Zeppelin
Man On The Corner,Genesis
Don't Tell Me You Love Me,Night Ranger
Somebody To Love,Dwight Twilley
Looking for a Stranger,Pat Benatar
She's A Beauty,The Tubes
King of Pain,The Police
Owner of a Lonely Heart,Yes
Union of the Snake,Duran Duran
Hungry Like The Wolf,Duran Duran 
Time After Time,Cyndi Lauper
Rock Of Ages,Def Leppard
Karma Chameleon,Culture Club
99 Luftballons,Nena
Love Is a Battlefield,Pat Benatar
Separate Ways (Worlds Apart),Journey
Girls Just Want to Have Fun,Cyndi Lauper
That's All!,Genesis
Hold Me Now,Thompson Twins
Wishing (If I Had A Photograph Of You),A Flock Of Seagulls
Be Good Johnny,Men At Work
Even Now,Bob Seger
Is There Something I Should Know?,Duran Duran
Back On The Chain Gang,The Pretenders
Pink Houses,John Mellencamp
Looking For A Stranger,Pat Benatar
Suddenly Last Summer,The Motels
Heart and Soul,Huey Lewis & the News
Goodbye To You,Scandal
Talking in Your Sleep,The Romantics
Something To Grab For,Ric Ocasek
Don't Cry,Asia
China Girl,David Bowie
How Can I Refuse,Heart
The Heat Goes On,Asia
One Thing Leads to Another,The Fixx
Stand Back,Stevie Nicks
Undercover of the Night,The Rolling Stones
I Guess That's Why They Call It the Blues,Elton John
She Blinded Me With Science,Thomas Dolby
If I'd Been The One,38 Special
Remember The Heroes,Sammy Hagar
Not Now John,Pink Floyd
Sunday Bloody Sunday,U2
Slipping Away,Dave Edmunds
For A Rocker,Jackson Browne
I Melt With You (1983 Version),Modern English
They Don't Know,Tracey Ullman
(She's) Sexy + 17,Stray Cats
I Won't Be Home Tonight,Tony Carey
Sharp Dressed Man,ZZ Top
Let's Dance,David Bowie
Back Where You Belong,38 Special
Overkill,Men at Work
Middle of the Road,The Pretenders
Your Possible Pasts,Pink Floyd
Crumblin' Down,John Cougar Mellencamp
Other Arms,Robert Plant
Hot Girls in Love,Loverboy
Foolin',Def Leppard
Saved By Zero,The Fixx
Strange Dreams,Frank Marino
Mr. Roboto,Styx
Too Late For Love,Def Leppard
Running with the Night,Lionel Richie
Who's Behind The Door?,Zebra
Just A Job To Do,Genesis
 Baby Jane,Rod Stewart
New Year's Day,U2
Change Of Heart,Tom Petty and the Heartbreakers
What Is Love?,Howard Jones
In a Big Country,Big Country
Jeopardy,Greg Kihn Band
Sex (I'm A...),Berlin
Thriller,Michael Jackson
My City Was Gone,The Pretenders
Take Me Away,Blue Oyster Cult
Modern Love,David Bowie
Human Race,Red Rider
Queen Of The Broken Hearts,Loverboy
Red Red Wine,UB40
Boomtown Blues,Bob Seger & The Silver Bullet Band
My Town,Michael Stanley Band
Cat People (Putting Out Fire) (1983 Version),David Bowie
Gimme All Your Lovin',ZZ Top
Walking In L.A.,Missing Persons
The One Thing,INXS
Far Post,Robert Plant
You Don't Believe,Alan Parsons Project
Street of Dreams,Rainbow
Monkey On Your Back,Aldo Nova
Dr. Heckyll & Mr. Jive,Men At Work
Bark At The Moon,Ozzy Osbourne
"Say, Say, Say",Michael Jackson & Paul McCartney
Enchanted,Stevie Nicks
Twisting By The Pool,Dire Straits
Making Love (Out of Nothing at All),Air Supply
I Want to Know What Love Is,Foreigner
Jump,Van Halen
Easy Lover,Philip Bailey
Dancing in the Dark,Bruce Springsteen
Shout,Tears for Fears
The Boys of Summer,Don Henley
Run to You,Bryan Adams
Middle Of The Road,The Pretenders
Can't Fight This Feeling,REO Speedwagon
Against All Odds (Take a Look at Me Now),Phil Collins
On the Dark Side,John Cafferty & the Beaver Brown Band
Union Of The Snake,Duran Duran
Footloose,Kenny Loggins
You Might Think,The Cars
The Heat Is On,Glenn Frey
The Warrior,Scandal
The Old Man Down the Road,John Fogerty
Like a Virgin,Madonna
Oh Sherrie,Steve Perry
Deeper And Deeper,The Fixx
Distant Early Warning,Rush
